idx,circle,diamond,egg,long,polygon,square,triangle,dating,career
S1,16.66666667,12.5,20.83333333,0,16.66666667,20.83333333,12.5,70,100
S2,10.71428571,10.71428571,17.85714286,17.85714286,17.85714286,14.28571429,10.71428571,100,50
S3,14.28571429,14.28571429,17.85714286,10.71428571,14.28571429,14.28571429,14.28571429,40,100
S4,18.51851852,14.81481481,18.51851852,0,14.81481481,18.51851852,14.81481481,90,90
S5,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,90,100
S6,0,13.63636364,13.63636364,18.18181818,18.18181818,22.72727273,13.63636364,110,0
S7,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,100,60
S8,18.51851852,14.81481481,18.51851852,0,14.81481481,18.51851852,14.81481481,100,90
D1,12,16,20,16,12,12,12,100,70
D2,15.15151515,15.15151515,12.12121212,15.15151515,15.15151515,15.15151515,12.12121212,100,0
D3,10.34482759,17.24137931,17.24137931,13.79310345,13.79310345,13.79310345,13.79310345,100,65
D4,0,20,20,25,15,0,20,100,80
D5,10.34482759,17.24137931,17.24137931,13.79310345,13.79310345,13.79310345,13.79310345,100,90
D6,17.85714286,14.28571429,17.85714286,0,17.85714286,17.85714286,14.28571429,80,100
E1,16.66666667,13.33333333,16.66666667,10,13.33333333,16.66666667,13.33333333,70,100
E2,0,20,20,25,15,0,20,100,65
E3,10.34482759,17.24137931,17.24137931,13.79310345,13.79310345,13.79310345,13.79310345,100,75
E4,18.18181818,18.18181818,22.72727273,0,13.63636364,13.63636364,13.63636364,90,100
E5,18.51851852,14.81481481,18.51851852,0,14.81481481,18.51851852,14.81481481,100,100
E6,16.12903226,12.90322581,16.12903226,12.90322581,16.12903226,12.90322581,12.90322581,60,60
E7,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,70,70
L1,10,16.66666667,16.66666667,16.66666667,13.33333333,13.33333333,13.33333333,85,85
L2,12.90322581,16.12903226,16.12903226,16.12903226,12.90322581,12.90322581,12.90322581,80,85
L3,11.53846154,15.38461538,15.38461538,19.23076923,11.53846154,11.53846154,15.38461538,100,70
L4,0,19.04761905,23.80952381,23.80952381,14.28571429,0,19.04761905,85,80
L5,12.90322581,16.12903226,16.12903226,16.12903226,12.90322581,12.90322581,12.90322581,100,80
L6,12.90322581,16.12903226,16.12903226,16.12903226,12.90322581,12.90322581,12.90322581,80,100
C1,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,70,80
C2,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,100,90
C3,13.33333333,16.66666667,16.66666667,13.33333333,13.33333333,13.33333333,13.33333333,110,55
C4,16.66666667,13.33333333,16.66666667,10,13.33333333,16.66666667,13.33333333,75,100
C5,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,100,90
C6,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,85,65
P1,9.677419355,12.90322581,16.12903226,16.12903226,16.12903226,16.12903226,12.90322581,100,80
P2,11.11111111,14.81481481,18.51851852,11.11111111,14.81481481,14.81481481,14.81481481,75,95
P3,10.71428571,10.71428571,17.85714286,17.85714286,17.85714286,14.28571429,10.71428571,95,50
P4,10.34482759,17.24137931,17.24137931,13.79310345,13.79310345,13.79310345,13.79310345,95,95
P5,9.677419355,12.90322581,16.12903226,16.12903226,16.12903226,16.12903226,12.90322581,95,85
P6,16.12903226,12.90322581,16.12903226,9.677419355,16.12903226,16.12903226,12.90322581,70,85
T1,9.677419355,12.90322581,16.12903226,16.12903226,16.12903226,12.90322581,16.12903226,100,80
T2,9.677419355,12.90322581,16.12903226,16.12903226,16.12903226,16.12903226,12.90322581,85,80
T3,13.33333333,13.33333333,16.66666667,10,16.66666667,16.66666667,13.33333333,90,85
T4,9.677419355,12.90322581,16.12903226,16.12903226,16.12903226,16.12903226,12.90322581,85,95
T5,16.12903226,12.90322581,16.12903226,12.90322581,16.12903226,12.90322581,12.90322581,95,50
T6,17.85714286,14.28571429,17.85714286,0,17.85714286,17.85714286,14.28571429,80,95
T7,17.24137931,13.79310345,17.24137931,10.34482759,13.79310345,13.79310345,13.79310345,90,90
T8,10,16.66666667,16.66666667,13.33333333,13.33333333,13.33333333,16.66666667,110,80
